"(PDH-CSV 4.0) (","\\DESKTOP-2OFVR87\GPU Process Memory(pid_30788_luid_0x00000000_0x00010324_phys_0)\Dedicated Usage"
"09/14/2026 18:52:08.803","105533440"
"09/14/2026 18:52:09.811","145047552"
"09/14/2026 18:52:10.820","145309696"
"09/14/2026 18:52:11.829","145309696"
"09/14/2026 18:52:12.838","145309696"
"09/14/2026 18:52:13.846","145653760"
"09/14/2026 18:52:14.853","145752064"
"09/14/2026 18:52:15.861","145850368"
"09/14/2026 18:52:16.869","145948672"
"09/14/2026 18:52:17.878","146046976"
"09/14/2026 18:52:18.885","146407424"
"09/14/2026 18:52:19.892","146505728"
"09/14/2026 18:52:20.901","146653184"
"09/14/2026 18:52:21.908","146878464"
"09/14/2026 18:52:22.915","147787776"
"09/14/2026 18:52:23.924","148635648"
"09/14/2026 18:52:24.931","149520384"
"09/14/2026 18:52:25.943","150441984"
"09/14/2026 18:52:26.954","151400448"
"09/14/2026 18:52:27.961","152395776"
"09/14/2026 18:52:28.972","153448448"
"09/14/2026 18:52:29.981","154517504"
"09/14/2026 18:52:30.990","156319744"
"09/14/2026 18:52:31.999","157483008"
"09/14/2026 18:52:33.008","158679040"
"09/14/2026 18:52:34.018","159916032"
"09/14/2026 18:52:35.026","161185792"
"09/14/2026 18:52:36.037","161837056"
"09/14/2026 18:52:37.045","161849344"
"09/14/2026 18:52:38.052","161849344"
"09/14/2026 18:52:39.060","161849344"
"09/14/2026 18:52:40.072","161849344"
"09/14/2026 18:52:41.076","161849344"
"09/14/2026 18:52:42.085","161849344"
"09/14/2026 18:52:43.094","161849344"
"09/14/2026 18:52:44.103","162729984"
"09/14/2026 18:52:45.113","164081664"
"09/14/2026 18:52:46.121","165470208"
"09/14/2026 18:52:47.130","167706624"
"09/14/2026 18:52:48.139","167706624"
"09/14/2026 18:52:49.148","167706624"
"09/14/2026 18:52:50.155","167706624"
"09/14/2026 18:52:51.162","167706624"
"09/14/2026 18:52:52.169","167706624"
"09/14/2026 18:52:53.177","167706624"
"09/14/2026 18:52:54.187","167706624"
"09/14/2026 18:52:55.196","167706624"
"09/14/2026 18:52:56.202","167706624"
"09/14/2026 18:52:57.209","167706624"
"09/14/2026 18:52:58.219","167706624"
"09/14/2026 18:52:59.228","167706624"
"09/14/2026 18:53:00.235","167706624"
"09/14/2026 18:53:01.240","167706624"
"09/14/2026 18:53:02.249","167706624"
"09/14/2026 18:53:03.257","167706624"
"09/14/2026 18:53:04.266","167706624"
"09/14/2026 18:53:05.274","167706624"
"09/14/2026 18:53:06.283","167706624"
"09/14/2026 18:53:07.293","167706624"
"09/14/2026 18:53:08.302","167706624"
"09/14/2026 18:53:09.312","167706624"
"09/14/2026 18:53:10.320","167706624"
"09/14/2026 18:53:11.327","167706624"
"09/14/2026 18:53:12.335","167706624"
"09/14/2026 18:53:13.343","167706624"
"09/14/2026 18:53:14.350","167706624"
"09/14/2026 18:53:15.357","167706624"
"09/14/2026 18:53:16.366","167706624"
"09/14/2026 18:53:17.373","167706624"
"09/14/2026 18:53:18.380","167706624"
"09/14/2026 18:53:19.391","167706624"
"09/14/2026 18:53:20.400","167706624"
"09/14/2026 18:53:21.411","167706624"
"09/14/2026 18:53:22.422","167706624"
"09/14/2026 18:53:23.432","167706624"
"09/14/2026 18:53:24.441","167706624"
"09/14/2026 18:53:25.452","167706624"
"09/14/2026 18:53:26.460","167706624"
"09/14/2026 18:53:27.470","167706624"
"09/14/2026 18:53:28.480","167706624"
"09/14/2026 18:53:29.486","167706624"
"09/14/2026 18:53:30.494","167706624"
"09/14/2026 18:53:31.503","167706624"
"09/14/2026 18:53:32.511","167706624"
"09/14/2026 18:53:33.518","167706624"
"09/14/2026 18:53:34.524","167706624"
"09/14/2026 18:53:35.535","167706624"
"09/14/2026 18:53:36.544","167706624"
"09/14/2026 18:53:37.554","167706624"
"09/14/2026 18:53:38.563","167706624"
"09/14/2026 18:53:39.572","167706624"
"09/14/2026 18:53:40.578","167706624"
"09/14/2026 18:53:41.587","167706624"
"09/14/2026 18:53:42.595","167706624"
"09/14/2026 18:53:43.601","167706624"
"09/14/2026 18:53:44.610","167706624"
"09/14/2026 18:53:45.621","167706624"
"09/14/2026 18:53:46.627","167706624"
"09/14/2026 18:53:47.636","167706624"
"09/14/2026 18:53:48.644","167706624"
"09/14/2026 18:53:49.651","167706624"
"09/14/2026 18:53:50.657","167706624"
"09/14/2026 18:53:51.664","167706624"
"09/14/2026 18:53:52.676","167706624"
"09/14/2026 18:53:53.685","167706624"
"09/14/2026 18:53:54.692","167706624"
"09/14/2026 18:53:55.699","167706624"
"09/14/2026 18:53:56.706","167706624"
"09/14/2026 18:53:57.714","167706624"
"09/14/2026 18:53:58.725","167706624"
"09/14/2026 18:53:59.733","167706624"
"09/14/2026 18:54:00.741","167706624"
"09/14/2026 18:54:01.748","167706624"
"09/14/2026 18:54:02.755","167706624"
"09/14/2026 18:54:03.763","167706624"
"09/14/2026 18:54:04.771","167706624"
"09/14/2026 18:54:05.779","167706624"
"09/14/2026 18:54:06.788","167706624"
"09/14/2026 18:54:07.797","167706624"
"09/14/2026 18:54:08.806","167706624"
"09/14/2026 18:54:09.813","167706624"
"09/14/2026 18:54:10.820","167706624"
"09/14/2026 18:54:11.830","167706624"
"09/14/2026 18:54:12.841","167706624"
"09/14/2026 18:54:13.848","167706624"
"09/14/2026 18:54:14.855","167706624"
"09/14/2026 18:54:15.866","167706624"
"09/14/2026 18:54:16.877","167706624"
"09/14/2026 18:54:17.887","167706624"
"09/14/2026 18:54:18.896","167706624"
"09/14/2026 18:54:19.905","167706624"
"09/14/2026 18:54:20.915","167706624"
"09/14/2026 18:54:21.922","167706624"
"09/14/2026 18:54:22.929","167706624"
"09/14/2026 18:54:23.939","167706624"
"09/14/2026 18:54:24.947","167706624"
"09/14/2026 18:54:25.954","167706624"
"09/14/2026 18:54:26.962","167706624"
"09/14/2026 18:54:27.972","167706624"
"09/14/2026 18:54:28.978","167706624"
"09/14/2026 18:54:29.989","167706624"
"09/14/2026 18:54:30.998","167706624"
"09/14/2026 18:54:32.004","167706624"
"09/14/2026 18:54:33.013","167706624"
"09/14/2026 18:54:34.021","167706624"
"09/14/2026 18:54:35.028","167706624"
"09/14/2026 18:54:36.038","167706624"
"09/14/2026 18:54:37.047","167706624"
"09/14/2026 18:54:38.057","167706624"
"09/14/2026 18:54:39.066","167706624"
"09/14/2026 18:54:40.074","167706624"
"09/14/2026 18:54:41.083","167706624"
"09/14/2026 18:54:42.092","167706624"
"09/14/2026 18:54:43.104","167706624"
"09/14/2026 18:54:44.112","167706624"
"09/14/2026 18:54:45.120","167706624"
"09/14/2026 18:54:46.128","167706624"
"09/14/2026 18:54:47.136","167706624"
"09/14/2026 18:54:48.144","167706624"
"09/14/2026 18:54:49.154","167706624"
"09/14/2026 18:54:50.162","167706624"
"09/14/2026 18:54:51.171","167706624"
"09/14/2026 18:54:52.181","167706624"
"09/14/2026 18:54:53.194","167706624"
"09/14/2026 18:54:54.202","167706624"
"09/14/2026 18:54:55.209","167706624"
"09/14/2026 18:54:56.219","167706624"
"09/14/2026 18:54:57.227","167706624"
"09/14/2026 18:54:58.237","167706624"
"09/14/2026 18:54:59.245","167706624"
"09/14/2026 18:55:00.251","167706624"
"09/14/2026 18:55:01.261","167706624"
"09/14/2026 18:55:02.268","167706624"
"09/14/2026 18:55:03.275","167706624"
"09/14/2026 18:55:04.284","167706624"
"09/14/2026 18:55:05.291","167706624"
"09/14/2026 18:55:06.299","167706624"
"09/14/2026 18:55:07.310","167706624"
"09/14/2026 18:55:08.316","167706624"
"09/14/2026 18:55:09.324","167706624"
"09/14/2026 18:55:10.333","167706624"
"09/14/2026 18:55:11.340","167706624"
"09/14/2026 18:55:12.346","167706624"
"09/14/2026 18:55:13.356","167706624"
"09/14/2026 18:55:14.364","167706624"
"09/14/2026 18:55:15.372","167706624"
"09/14/2026 18:55:16.381","167706624"
"09/14/2026 18:55:17.388","167706624"
"09/14/2026 18:55:18.398","167706624"
"09/14/2026 18:55:19.407","167706624"
"09/14/2026 18:55:20.417","167706624"
"09/14/2026 18:55:21.424","167706624"
"09/14/2026 18:55:22.433","167706624"
"09/14/2026 18:55:23.441","167706624"
